a,rankScore,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength,PlayedLength_TOP,PlayedLength_MID,PlayedLength_JG,PlayedLength_ADC,PlayedLength_SUP,D_ADC,DT_ADC,CS_zeroToTen_ADC,CS_ADC,H_ADC,G_ADC,K_ADC,De_ADC,A_ADC,VW_ADC,WK_ADC,WP_ADC,KC_ADC,KDA_ADC,WinRate_ADC,CC_ADC,FBContribution_ADC,KillSprees_ADC,LargestKillingSpree_ADC,CSDiffPerMin_zeroToTen_ADC,XPPerMin_zeroToTen_ADC,XPPerMin_zeroToThirty_ADC,XPDiffPerMin_zeroToTen_ADC,XPDiffPerMin_tenToTwenty_ADC,XPDiffPerMin_twentyToThirty_ADC,TeamGoldPercent_ADC,TeamDamagePercent_ADC,D_MID,DT_MID,CS_zeroToTen_MID,CS_MID,H_MID,G_MID,K_MID,De_MID,A_MID,VW_MID,WK_MID,WP_MID,KC_MID,KDA_MID,WinRate_MID,CC_MID,FBContribution_MID,KillSprees_MID,LargestKillingSpree_MID,CSDiffPerMin_zeroToTen_MID,XPPerMin_zeroToTen_MID,XPPerMin_zeroToThirty_MID,XPDiffPerMin_zeroToTen_MID,XPDiffPerMin_tenToTwenty_MID,XPDiffPerMin_twentyToThirty_MID,TeamGoldPercent_MID,TeamDamagePercent_MID,D_TOP,DT_TOP,CS_zeroToTen_TOP,CS_TOP,H_TOP,G_TOP,K_TOP,De_TOP,A_TOP,VW_TOP,WK_TOP,WP_TOP,KC_TOP,KDA_TOP,WinRate_TOP,CC_TOP,FBContribution_TOP,KillSprees_TOP,LargestKillingSpree_TOP,CSDiffPerMin_zeroToTen_TOP,XPPerMin_zeroToTen_TOP,XPPerMin_zeroToThirty_TOP,XPDiffPerMin_zeroToTen_TOP,XPDiffPerMin_tenToTwenty_TOP,XPDiffPerMin_twentyToThirty_TOP,TeamGoldPercent_TOP,TeamDamagePercent_TOP,D_JG,DT_JG,CS_zeroToTen_JG,CS_JG,H_JG,G_JG,K_JG,De_JG,A_JG,VW_JG,WK_JG,WP_JG,KC_JG,KDA_JG,WinRate_JG,CC_JG,FBContribution_JG,KillSprees_JG,LargestKillingSpree_JG,CSDiffPerMin_zeroToTen_JG,XPPerMin_zeroToTen_JG,XPPerMin_zeroToThirty_JG,XPDiffPerMin_zeroToTen_JG,XPDiffPerMin_tenToTwenty_JG,XPDiffPerMin_twentyToThirty_JG,TeamGoldPercent_JG,TeamDamagePercent_JG,D_SUP,DT_SUP,CS_zeroToTen_SUP,CS_SUP,H_SUP,G_SUP,K_SUP,De_SUP,A_SUP,VW_SUP,WK_SUP,WP_SUP,KC_SUP,KDA_SUP,WinRate_SUP,CC_SUP,FBContribution_SUP,KillSprees_SUP,LargestKillingSpree_SUP,CSDiffPerMin_zeroToTen_SUP,XPPerMin_zeroToTen_SUP,XPPerMin_zeroToThirty_SUP,XPDiffPerMin_zeroToTen_SUP,XPDiffPerMin_tenToTwenty_SUP,XPDiffPerMin_twentyToThirty_SUP,TeamGoldPercent_SUP,TeamDamagePercent_SUP
BRONZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHALLENGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
