"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Nucka",2.11,6.50,5.70,5.50,4,2,0,4,0,40,1,5,12,0,1,53,63.22,1942.1
"Mario OP",2.60,6.90,6.00,8.70,4,2,2,1,1,40,6,7,14,2,1,55,129.13,2012.4
"Arb0ria",2.54,6.40,9.00,16.50,1,1,1,4,3,60,5,9,22,3,6,55,79.83,2049.7
"LegacyRW",3.31,2.20,4.90,14.00,0,1,0,2,7,50,26,6,13,2,4,52,49.27,2087.7
"IIJRII",2.36,8.70,6.10,5.70,0,0,6,4,0,30,0,7,13,1,2,54,28.43,1927.5
"PrismRevenant",3.39,5.60,4.10,8.30,0,0,4,6,0,60,5,12,16,2,4,49,33.12,1856.3
"chiefrockaa",2.36,6.10,6.10,8.30,0,4,5,1,0,60,0,13,15,4,1,42,77.60,2066.5
"Bazek",2.12,1.50,6.70,12.70,0,0,0,0,10,20,36,4,17,1,3,49,31.62,2196.1
"ZenKen",2.48,5.30,5.00,7.10,5,0,0,5,0,70,0,9,24,5,5,39,137.00,1986.9
"Il Cya Nerd Il",2.31,4.60,6.80,11.10,1,1,4,2,2,50,10,4,13,1,3,56,106.42,2056.2
"Vylxer",1.66,2.60,7.00,9.00,0,0,0,1,9,30,19,6,18,4,2,40,104.53,2137.4
"WarMachine03",1.39,3.30,6.40,5.60,7,2,0,1,0,30,0,6,8,0,1,40,39.70,1810.7
"SpaZtk",2.39,8.90,7.20,8.30,1,0,9,0,0,50,12,3,15,1,2,56,40.60,2190.3
"the red panther",1.88,3.90,9.00,13.00,0,0,0,2,8,60,0,8,16,5,5,52,71.52,1855.8
"TheKeefThief",4.39,2.40,4.10,15.60,0,0,1,0,9,60,30,4,15,3,5,58,131.77,2019.2
"Muchong",2.77,10.20,6.50,7.80,0,1,1,8,0,70,0,16,21,3,2,58,36.08,1867
"Wario OP",2.60,6.30,4.70,5.90,5,3,2,0,0,50,0,7,12,3,3,41,97.03,1779.6
"Vorstef",2.57,5.60,5.60,8.80,5,4,0,1,0,40,17,14,10,0,0,48,158.62,2216.8
"W3az3R1530",3.76,2.80,4.50,14.10,0,1,0,0,9,60,25,5,19,1,3,55,38.67,1947.7
"Namele55Usurper",1.73,3.80,4.10,3.30,0,4,6,0,0,30,9,7,8,1,1,43,33.08,1580.7
"Bulldog21",2.82,8.20,6.00,8.70,0,5,1,4,0,50,0,8,17,3,4,57,86.92,1989.6
"Headhunter8183",2.86,4.90,5.00,9.40,2,6,2,0,0,30,0,8,17,1,2,52,159.17,2151
"sylveke",2.69,1.70,6.50,15.80,0,0,0,2,8,40,13,2,13,3,7,52,53.48,2075.7
"Megeter dune",1.77,7.70,8.40,7.20,0,1,5,4,0,30,9,5,11,2,2,50,38.87,2078.7
"CBS Nemesis",2.90,3.20,5.10,11.60,1,4,1,0,4,50,5,4,18,2,3,50,107.52,1797.7
"BroncosMan94",3.43,7.60,5.10,9.90,2,7,1,0,0,80,19,9,14,2,5,54,202.98,2045
"voggiebear10",2.04,6.60,6.90,7.50,1,5,0,3,1,50,9,10,24,1,3,46,150.65,2097.4
"Three Feet Longd",2.66,2.50,4.70,10.00,1,3,2,1,3,50,9,5,13,1,2,47,80.65,1951.6
"nemotheporo",2.66,6.30,6.40,10.70,2,1,1,5,1,60,26,10,9,1,2,53,46.03,1931
"swagasorausrex",2.26,7.10,7.00,8.70,3,7,0,0,0,50,2,10,26,2,2,48,85.17,2028.5
"Master Glencour",1.41,3.20,7.50,7.40,1,7,2,0,0,20,3,5,10,1,1,42,96.87,1935
"Kreepydude",2.85,5.00,5.90,11.80,0,4,0,3,2,44,8,7,19,0,3,49,75.42,2053.6666666666665
"bloonpopper69",2.48,7.90,6.20,7.50,4,1,4,1,0,50,0,14,15,5,2,50,102.08,1962.4
"WindxPhoenix",1.16,3.50,6.10,3.60,10,0,0,0,0,40,0,8,17,3,4,28,18.57,2021.7
"josh000123",3.50,8.20,4.80,8.60,0,7,1,2,0,40,0,4,16,2,2,55,127.48,2156
"JustTooSmexy",2.18,6.30,5.70,6.10,3,0,4,3,0,50,1,15,16,3,3,42,20.27,1843
"Sepire",4.43,2.70,3.70,13.70,0,0,0,0,10,80,24,5,16,1,3,60,37.47,1784.4
"HAAAA GOT EM",2.39,7.00,5.90,7.10,1,0,4,5,0,30,4,14,14,0,3,55,42.45,1976.5
"Haleybadaily",3.70,5.40,5.70,15.70,0,0,1,3,6,60,9,10,12,2,6,66,57.83,1886.5
"blackbird7089",2.31,0.80,4.90,10.50,1,0,0,0,9,20,5,2,8,2,1,53,29.17,1822.5
"batwingcrunchies",2.71,4.20,5.10,9.60,1,3,2,0,4,50,0,9,11,2,2,51,40.00,1769.5
"bossdan17",1.41,3.90,9.20,9.10,1,0,1,2,6,50,2,5,19,2,4,38,37.15,2040
"Gx3 Chidori",4.33,15.10,4.90,6.10,0,0,8,2,0,60,5,16,16,2,1,61,114.12,1913.6
"Ulrickque",1.31,1.50,7.70,8.60,0,0,0,1,9,40,4,2,15,1,3,39,98.68,1954.9
"Timstonman",3.95,4.50,4.00,11.30,3,1,3,0,3,60,7,4,20,2,2,49,43.28,1901.9
"VaIkyria",2.25,5.40,7.10,10.60,3,3,0,0,4,50,15,9,14,3,1,55,73.48,1871.8
"Armisticeismagic",3.42,6.10,4.00,7.60,3,5,0,2,0,50,16,9,13,3,3,50,107.75,1669.8
"LODDD",2.28,6.80,7.20,9.60,1,4,3,0,2,50,0,14,16,2,4,48,133.78,2155.6
"Hypnagogia",3.93,7.90,4.50,9.80,0,4,6,0,0,60,8,11,17,2,4,58,132.15,1897.4
"SupahDave",2.95,4.10,5.60,12.40,3,6,0,0,1,80,4,15,27,5,5,44,95.05,2129.8
"ANARCHlST",2.82,9.70,5.50,5.80,0,1,3,6,0,80,1,16,18,6,5,46,27.45,1947
"El Jakari",1.33,6.60,9.40,5.90,0,0,5,4,1,40,16,7,13,3,4,54,30.10,1878.1
"Big Clock Sucker",1.75,1.80,7.10,10.60,0,1,0,0,9,40,12,1,14,0,0,47,32.40,1826.3
"Cadenx",2.18,3.90,3.80,4.40,6,0,1,3,0,40,5,8,12,3,1,35,118.17,1822.2
