"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"GATO DarkLicking",2.00,2.80,6.60,10.40,2,1,0,1,6,40,19, 53, 188, 5, 0, 16,5,5,52, 117037, 267419, 38590, 161.47, 109610,1951.7
"Valkroth",2.64,3.30,4.70,9.10,5,1,0,0,4,50,17, 57, 231, 6, 2, 15,5,4,54, 136677, 241512, 40644, 116.03, 107419,1889.7
"Etheopia",2.05,5.70,5.70,6.00,0,1,0,9,0,30,3, 33, 112, 11, 1, 11,2,3,54, 234072, 197290, 32912, 81.77, 120636,1848.2
"Teburu X",2.51,5.60,5.30,7.70,8,0,2,0,0,70,12, 50, 107, 16, 4, 11,5,5,51, 163790, 231486, 34871, 42.73, 113648,1700.5
"Pablohoney",2.55,7.20,5.50,6.80,2,7,1,0,0,10,20, 59, 190, 2, 3, 14,1,3,56, 164349, 311408, 120510, 89.25, 127805,1973.4
"Get the D",2.11,1.30,4.60,8.40,0,0,0,0,10,20,28, 40, 234, 1, 0, 9,1,3,51, 41064, 162729, 97007, 32.93, 74272,1729.1
"Kawaii Crab",4.05,7.60,4.10,9.00,0,1,0,9,0,60,7, 22, 86, 13, 8, 14,5,5,56, 210147, 161671, 44550, 38.35, 130678,1772.2
"Roleiz",2.16,5.40,4.40,4.10,1,7,0,2,0,40,11, 33, 123, 6, 0, 10,4,4,52, 125822, 234209, 59738, 66.07, 105637,1623.2
"Serky",1.59,7.20,9.20,7.40,6,4,0,0,0,20,7, 24, 172, 7, 1, 14,2,7,47, 214347, 345059, 47717, 166.25, 135447,2135.3
"Japcho",2.08,3.30,4.00,5.00,7,1,2,0,0,60,20, 41, 127, 19, 3, 7,7,4,39, 162790, 191331, 89723, 30.97, 109809,1608
"blobs",2.13,4.40,6.00,8.40,0,1,7,2,0,40,36, 30, 103, 13, 1, 15,2,5,53, 177464, 176522, 24925, 139.78, 104335,1666.9
"Big Otis",2.48,4.00,4.00,5.90,0,0,8,2,0,30,29, 38, 154, 6, 0, 11,9,2,59, 169719, 167132, 16318, 42.72, 114513,1810.7
"InPeace",2.16,9.00,6.90,5.90,0,5,5,0,0,60,1, 41, 115, 9, 2, 15,5,7,54, 266352, 263904, 28335, 103.40, 129964,1824.4
"SouIero",3.02,4.40,4.40,8.90,6,0,2,2,0,60,10, 24, 109, 9, 2, 16,2,2,49, 170255, 214359, 35759, 52.87, 114754,1819.1
