"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Iskurr2qt4me",2.61,8.00,5.60,6.60,1,9,0,0,0,60,17, 36, 148, 13, 3, 17,5,7,56, 192991, 283290, 69086, 110.85, 141378,1902.7,2015,0,17012,0,0,0,0,0,0,0,0,0,0,0,0,18271,25276,56.00,221,2957,174720,258014,5.33,799,66129,0,0,0,0,0
"SquidsDayOff",2.73,1.60,5.10,12.30,0,0,0,3,7,30,24, 41, 216, 2, 0, 11,0,3,58, 98975, 216440, 84078, 34.67, 97997,1944.8,0,0,0,4033,15415,31472,24519,69.00,440,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67503,191921,6.71,254,81255
"rafflesz",3.14,7.30,5.00,8.40,2,0,5,3,0,70,13, 27, 104, 15, 2, 13,6,4,53, 223161, 192739, 47358, 113.70, 132690,1867.8,2945,9809,0,5924,0,63849,54082,59.33,643,10195,137003,113246,63.40,1083,29550,22309,25411,65.00,353,7613,0,0,0,0,0,0,0,0,0,0
"TehNumberSeven",4.09,5.60,3.40,8.30,0,5,3,2,0,60,12, 43, 111, 7, 2, 20,2,6,53, 175982, 217082, 51132, 79.23, 129738,2076,0,6757,9874,4129,0,28948,22520,70.00,470,2075,75847,55340,66.33,662,6343,0,0,0,0,0,71187,139222,0.60,418,42714,0,0,0,0,0
"RustyBEW",2.17,5.80,5.40,5.90,0,4,6,0,0,40,9, 21, 89, 2, 0, 16,4,2,54, 169328, 213815, 42593, 52.88, 105316,1853.4,0,11143,7391,0,0,0,0,0,0,0,115913,100503,51.00,858,12024,0,0,0,0,0,53415,113312,6.50,190,30569,0,0,0,0,0
"SKT T1 Maki",3.08,4.90,3.60,6.20,2,5,1,2,0,40,16, 76, 128, 10, 1, 13,1,5,50, 157469, 250348, 82320, 114.23, 115348,1935.6,3220,1553,10643,3940,0,56322,35642,69.00,437,4242,0,0,0.00,0,0,29478,42638,62.00,367,10333,71669,172068,2.00,411,67745,0,0,0,0,0
"Balugaa",2.22,5.60,5.50,6.60,8,0,2,0,0,50,7, 16, 115, 16, 3, 18,3,3,45, 282959, 304262, 70420, 130.75, 135458,1992.4,15709,4215,0,0,0,0,0,0,0,0,68953,46343,75.00,469,7228,214006,257919,67.25,1775,63192,0,0,0,0,0,0,0,0,0,0
"OK OK OK OK",2.43,2.90,4.40,7.80,6,2,1,0,1,30,19, 23, 118, 11, 0, 9,6,2,45, 129536, 242865, 41418, 184.92, 101471,1856.7,10954,1394,3738,0,2481,0,0,0,0,0,10641,14188,58.00,125,2671,90197,157005,55.17,1025,19789,19033,43459,2.50,134,12037,9665,28213,10.00,67,6921
"McNabi",3.06,6.00,5.00,9.30,0,5,1,4,0,40,2, 25, 130, 6, 2, 15,5,3,57, 193335, 266479, 57510, 122.72, 122365,1967.5,0,2180,9366,8129,0,113504,72306,64.00,878,10406,17088,19147,73.00,231,2043,0,0,0,0,0,62743,175026,4.60,359,45061,0,0,0,0,0
"MrMalinis",2.19,3.40,5.40,8.40,1,0,3,4,2,30,2, 21, 69, 9, 1, 13,1,1,58, 156817, 180856, 20430, 184.07, 101658,1819.6,1555,5463,0,7512,3666,88216,75169,62.75,788,12638,36995,49227,55.33,458,3120,13011,20258,46.00,130,1116,0,0,0,0,0,18595,36202,8.50,59,3556
"Call Me Douglas",2.08,4.90,4.80,5.10,0,0,4,6,0,40,3, 22, 107, 12, 2, 12,2,3,44, 201775, 185448, 29390, 31.25, 121318,1850.9,0,6397,0,12112,0,137134,133413,70.67,1300,21646,64641,52035,68.75,786,7744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alzharaii",3.53,6.50,4.30,8.70,0,5,5,0,0,60,8, 24, 107, 4, 2, 17,0,6,53, 167073, 198702, 40246, 58.38, 113295,1812.1,0,8678,9443,0,0,0,0,0,0,0,96694,70235,59.60,755,9971,0,0,0,0,0,70379,128467,0.40,355,30275,0,0,0,0,0
