"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"SexyKnees",3.52,3.80,3.30,7.80,8,0,1,0,1,40,24, 10, 158, 11, 3, 13,2,4,43, 143630, 202235, 18397, 197.30, 113107,2018,17442,1217,0,0,1521,0,0,0,0,0,5420,4726,59.00,128,380,133302,180866,46.00,1503,16417,0,0,0,0,0,4908,16643,9.00,27,1600
"SwimInMyPoole",2.17,4.90,5.30,6.60,0,0,1,9,0,50,2, 18, 61, 14, 2, 23,3,5,39, 148070, 197691, 35807, 13.83, 120275,1990.2,0,2003,0,17899,0,127229,176649,43.44,1445,32978,20841,21042,50.00,140,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xxmochomanxx",2.60,4.90,4.70,7.30,2,3,1,3,1,60,1, 46, 66, 8, 1, 15,3,0,49, 128576, 197318, 33558, 60.48, 97894,1588.9,3456,1220,5072,4268,1873,36414,41161,55.00,357,4538,8582,10253,48.00,92,760,32692,59913,71.00,359,9290,37393,63527,5.00,209,15647,13495,22464,12.00,37,3323
"cyclops34",2.65,6.60,6.30,10.10,1,4,0,5,0,50,0, 13, 116, 7, 1, 27,3,4,51, 190597, 270173, 56040, 75.42, 128775,2088.8,1513,0,9574,9801,0,95389,87550,59.00,914,12489,0,0,0,0,0,4637,19296,28.00,90,659,90571,163327,1.75,354,42892,0,0,0,0,0
"Aashur",3.63,7.00,5.10,11.50,4,1,3,2,0,50,1, 10, 141, 10, 6, 22,4,3,45, 237024, 249795, 58686, 197.73, 135922,2230.9,9384,6349,1184,5392,0,79664,49103,55.00,354,7969,53714,67221,38.67,393,7076,89115,125690,44.50,680,43227,14531,7781,39.00,1,414,0,0,0,0,0
"Lily Eledwhen",1.97,7.60,7.80,7.80,0,4,4,1,1,40,10, 18, 135, 8, 1, 15,0,2,50, 205558, 291964, 62618, 140.13, 130541,2079.4,0,9317,7563,1929,1985,28192,23888,49.00,146,1733,103597,110488,56.25,960,14980,0,0,0,0,0,65579,142800,5.25,259,37341,8190,14788,1.00,14,8564
"WonderSack",2.63,6.00,5.70,9.00,6,4,0,0,0,50,4, 16, 121, 20, 4, 20,3,6,43, 213159, 347516, 83474, 227.37, 138909,2337.8,13583,0,9795,0,0,0,0,0,0,0,0,0,0,0,0,142081,176547,48.83,1100,46955,71078,170969,4.50,284,36519,0,0,0,0,0
"Juandavid95",2.35,5.30,5.10,6.70,4,0,2,3,1,20,8, 13, 162, 4, 0, 13,0,2,47, 201402, 223355, 35501, 62.27, 118387,2014.5,7324,3981,0,6904,1936,94382,74523,63.00,727,17931,32090,38639,54.00,348,3818,65163,81886,57.25,737,11896,0,0,0,0,0,9767,28307,14.00,32,1856
"mojojojo1515",2.55,3.20,5.50,10.80,0,0,0,1,9,40,10, 16, 163, 3, 1, 18,2,1,50, 102401, 265574, 60392, 68.72, 95944,1954.5,0,0,0,1600,17945,7250,29057,13.00,20,5698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95151,236517,9.56,345,54694
"SpreadEmCheeks",1.38,3.10,7.20,6.80,1,3,2,1,3,40,1, 5, 60, 6, 0, 14,3,3,34, 121438, 215022, 31149, 46.23, 98423,1933.3,1945,3657,7071,1362,5298,12190,12227,54.00,114,1340,23216,45793,18.50,112,7966,13852,29838,67.00,228,4332,38926,70118,3.67,71,6548,33254,57046,10.33,135,10963
"SnapTekken",2.13,6.10,6.10,6.90,2,5,3,0,0,20,0, 22, 133, 1, 0, 8,0,3,51, 163725, 240899, 41123, 78.58, 104997,1821.6,3812,6053,8351,0,0,0,0,0,0,0,65722,56595,49.00,421,8124,27988,56983,52.00,354,8069,70015,127321,1.80,264,24930,0,0,0,0,0
