"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"demonshamrock",4.03,5.70,3.50,8.40,0,0,1,9,0,80,2, 8, 73, 10, 2, 20,7,4,44, 161694, 123589, 24280, 33.75, 108483,1757.5
"JustQ33",2.32,3.30,6.20,11.10,3,0,1,3,3,30,12, 21, 191, 6, 0, 22,2,9,46, 133508, 299101, 66867, 87.97, 126107,2353.6
"Tubs XII",2.80,6.00,6.40,11.90,0,2,1,7,0,80,16, 30, 130, 8, 2, 20,3,4,49, 206216, 233359, 57558, 62.97, 129402,2125.3
"StealthySquid",2.71,5.40,6.80,13.00,3,0,2,1,4,60,16, 41, 174, 13, 3, 21,4,3,50, 227380, 230362, 35905, 113.37, 112948,1908.8
"KoadRill",3.41,2.90,5.60,16.20,0,1,0,1,8,60,8, 59, 237, 8, 0, 19,2,3,48, 119845, 269805, 30906, 116.63, 113407,2120.4
"SoundOfViolence",3.23,6.90,4.70,8.30,5,1,0,3,1,30,1, 43, 65, 8, 1, 12,2,4,52, 165886, 258670, 28929, 66.00, 116821,1921.8
"Treints",2.39,5.60,5.40,7.30,4,6,0,0,0,20,0, 11, 57, 16, 0, 9,0,1,49, 158339, 349083, 42228, 148.17, 117797,2078.6
"jdmsqueek",2.40,3.80,4.80,7.70,0,3,0,6,1,60,6, 13, 108, 10, 1, 16,3,5,42, 137184, 177321, 29977, 72.62, 110312,1858.1
"chucho421",3.39,4.20,4.10,9.70,4,4,1,0,1,70,7, 18, 101, 13, 1, 12,1,2,40, 138237, 261726, 47394, 92.10, 109113,1857.7
"leekOfLagend",3.72,3.70,3.60,9.70,0,0,1,5,4,60,0, 6, 126, 3, 2, 12,1,1,54, 130050, 118958, 12587, 72.30, 95633,1817.9
"Pray2YoMama",2.06,3.40,6.90,10.80,2,1,3,0,4,30,5, 7, 133, 5, 1, 10,1,1,51, 113745, 212149, 30452, 19.92, 99664,1804.1
"xx251000",4.26,7.10,4.70,12.90,1,0,0,9,0,80,0, 3, 67, 16, 2, 22,1,6,54, 241523, 245601, 47278, 31.28, 134717,2176.6
"crustation112",3.49,2.90,4.30,12.10,0,0,0,2,8,40,13, 12, 148, 6, 0, 12,0,1,62, 105560, 211671, 36587, 19.07, 90706,1914.2
"bloodred king",2.71,5.30,5.80,10.40,4,2,1,2,1,70,0, 10, 81, 10, 7, 15,3,2,44, 157853, 198167, 27618, 64.98, 104490,1773
"dodgertown2015",2.00,2.90,4.70,6.50,1,5,1,0,3,40,4, 14, 93, 1, 2, 13,0,2,39, 88997, 257468, 75902, 137.42, 93757,1824.7
"Mikeandnike1",1.95,5.90,6.60,7.00,0,10,0,0,0,50,9, 21, 129, 9, 4, 21,8,4,41, 168433, 318236, 102470, 99.52, 124926,2047.9
