"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"FlyingTongue",2.58,1.10,5.00,11.80,0,2,0,0,8,40,11, 29, 180, 3, 0, 9,1,4,55, 63508, 199484, 24509, 37.77, 83587,1766
"Maidsturnmeon",1.78,8.00,8.30,6.80,0,0,0,10,0,30,0, 8, 107, 20, 4, 13,3,2,51, 283890, 222408, 27927, 29.82, 142520,2227
"Man murder",1.53,4.00,7.60,7.60,0,0,0,0,10,30,8, 19, 134, 3, 0, 13,6,7,38, 107387, 204798, 20845, 51.88, 99134,1923.9
"ProbablyDrunken",2.70,7.80,6.00,8.40,0,4,1,4,1,40,7, 9, 80, 14, 1, 14,1,4,51, 193371, 288654, 67106, 154.82, 126361,1894.2
"CIR ZionH",2.09,5.00,5.80,7.10,6,1,2,0,1,60,5, 11, 88, 13, 1, 17,4,5,42, 162896, 230552, 25867, 102.40, 114310,1967.4
"Figured",2.94,7.00,5.30,8.60,0,0,3,7,0,50,5, 10, 98, 12, 5, 9,0,5,54, 229139, 174012, 28543, 34.50, 124749,2096.5
"High6rade",2.30,7.30,6.60,7.90,6,0,4,0,0,50,7, 16, 99, 15, 3, 20,2,5,48, 259806, 338331, 86117, 21.43, 133080,2035.4
"swarmhosts",2.70,7.70,6.70,10.40,0,6,0,4,0,60,0, 11, 87, 17, 3, 14,3,1,53, 225937, 286542, 57253, 85.78, 133964,2061.1
"SupaPeach",3.77,4.00,3.50,9.20,1,3,1,2,3,40,5, 14, 104, 6, 3, 16,2,1,40, 112468, 194706, 40653, 82.35, 107092,1974.4
"PhamtonHunter",2.35,6.30,6.50,9.00,0,0,0,7,3,40,0, 28, 157, 15, 1, 15,0,3,56, 162737, 179407, 19269, 18.02, 112451,1960.6
"CCarmine4445",1.87,2.10,8.30,13.40,0,1,0,1,8,50,14, 9, 202, 3, 1, 21,4,6,45, 119269, 264056, 44952, 112.78, 101660,2128.3
