"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Pyrr",7.35,2.30,2.00,12.40,0,0,3,0,7,70,41, 66, 222, 8, 3, 14,4,4,61, 87932, 102384, 49223, 31.73, 94339,1690.8
"Vibrato",3.47,4.90,4.30,10.00,3,6,0,0,1,30,3, 45, 163, 8, 2, 14,3,3,59, 178840, 311587, 92295, 117.67, 115284,1859.7
"Coggles x",3.05,5.20,4.00,7.00,0,0,2,8,0,50,16, 31, 107, 7, 2, 13,4,1,54, 176386, 141007, 20656, 50.22, 109591,1644.7
"IUB RZZ",1.55,2.30,5.10,5.60,0,3,1,3,3,20,19, 20, 130, 0, 0, 4,2,2,51, 60458, 120340, 64473, 18.50, 69884,1449.8
"mandatorycloud",3.28,7.80,4.60,7.30,0,2,7,1,0,70,24, 23, 77, 13, 0, 12,8,5,55, 246435, 206213, 35797, 64.48, 121770,1666
"Chuccc",2.57,8.60,5.30,5.00,0,3,7,0,0,70,9, 23, 119, 7, 4, 14,4,3,56, 176114, 208587, 39575, 66.62, 114749,1676.5
"CoconutExpress",2.76,7.30,6.80,11.50,0,9,1,0,0,60,10, 41, 138, 2, 0, 16,2,7,64, 221108, 319998, 65703, 116.90, 119704,1888.4
"Dyrsexual",3.31,5.70,3.50,5.90,2,8,0,0,0,40,0, 33, 117, 11, 2, 10,2,6,53, 151548, 287358, 71037, 152.30, 119765,1776.7
"GusTn",4.34,1.90,3.80,14.60,1,0,0,0,9,70,48, 96, 319, 7, 0, 9,2,7,60, 89388, 136418, 90736, 22.38, 96613,1773.9
"kinkylover",2.43,3.00,3.50,5.50,3,3,1,1,2,50,25, 23, 129, 4, 0, 9,1,1,53, 111349, 200237, 47918, 59.55, 81546,1494.2
"lolmaniac1997",2.62,5.10,4.70,7.20,5,2,2,0,1,60,19, 38, 146, 11, 2, 13,5,9,47, 159439, 300489, 74661, 94.83, 114490,1818.3
"Wákka",2.55,4.60,4.90,7.90,0,5,0,5,0,60,7, 55, 100, 8, 3, 10,1,5,56, 190243, 218085, 54488, 49.27, 115671,1716
"Turkish Coffee",4.16,1.20,5.10,20.00,0,0,0,0,10,70,29, 115, 278, 3, 1, 13,3,8,65, 74426, 180736, 226467, 57.02, 114883,2211.8
"l Love Amber",3.76,7.50,4.20,8.30,0,3,7,0,0,40,19, 35, 121, 7, 1, 12,3,4,62, 233846, 199704, 41883, 111.88, 133627,1910.4
"lt Happens",2.48,6.60,5.00,5.80,0,0,2,8,0,40,1, 22, 73, 12, 2, 9,2,2,54, 192408, 169533, 27924, 57.80, 113066,1559.6
"otter",2.15,3.60,4.80,6.70,0,0,0,9,1,20,6, 25, 75, 4, 0, 10,0,4,53, 136714, 149820, 30890, 15.15, 97202,1614.1
"llIlIllIIllIlIlI",2.67,5.50,4.20,5.70,7,3,0,0,0,70,9, 48, 129, 20, 3, 13,1,5,44, 181095, 344540, 106875, 80.05, 133249,1834.7
"bac",1.98,4.30,5.20,6.00,4,6,0,0,0,30,2, 32, 52, 15, 1, 14,2,2,51, 152586, 299199, 121137, 84.25, 107941,1688.9
"Princess Incest",2.09,5.80,6.70,8.20,0,0,0,9,1,60,12, 56, 162, 15, 2, 23,3,7,48, 203961, 220657, 36417, 116.18, 134752,2077.4
"CookiesforSanta",3.33,3.90,3.60,8.10,5,0,4,0,1,50,3, 22, 125, 10, 2, 10,1,3,51, 165134, 176717, 21775, 70.53, 108220,1789.5
"Goofy",5.29,7.10,2.80,7.70,0,0,8,2,0,50,23, 44, 150, 11, 2, 13,3,3,54, 215970, 143314, 21959, 35.87, 121933,1789.3
"Scrandor",3.30,3.20,4.30,11.00,0,0,0,2,8,40,23, 62, 221, 8, 0, 11,4,5,55, 96218, 253261, 38728, 40.93, 103438,1904.2
"Super Smashd",2.34,3.80,4.10,5.80,6,3,1,0,0,20,11, 35, 104, 10, 3, 8,2,4,55, 169894, 232855, 41055, 188.97, 112327,1822.3
"07scaping",2.78,7.00,5.40,8.00,0,5,5,0,0,60,16, 40, 122, 8, 2, 12,8,4,59, 172757, 263212, 54394, 46.55, 123288,1762.6
"Lovefury",2.72,1.80,5.30,12.60,0,0,0,1,9,40,46, 110, 324, 3, 0, 10,3,3,52, 90793, 227806, 44497, 77.23, 93533,1891.8
"LeviIsGay",2.84,4.00,3.80,6.80,8,0,2,0,0,50,11, 21, 130, 7, 0, 11,3,5,49, 167469, 198381, 25223, 78.17, 110179,1712.4
"clg imaqtpie69",2.65,6.60,5.40,7.70,1,1,0,8,0,70,14, 65, 125, 18, 1, 7,8,3,55, 224650, 221106, 45911, 49.85, 134615,1838.6
"EstherYin so OP",4.47,1.70,4.30,17.50,0,0,0,0,10,50,17, 78, 275, 4, 0, 26,4,3,75, 69623, 131309, 84975, 29.18, 89662,1797.7
"Strife LFT",3.42,5.00,3.60,7.30,0,1,0,9,0,50,13, 30, 110, 16, 3, 17,4,5,59, 198854, 165040, 29097, 46.18, 115936,1775.4
"Route XX",2.98,5.70,4.70,8.30,1,3,6,0,0,40,5, 35, 88, 4, 1, 9,0,5,60, 251142, 244252, 72847, 194.13, 118159,1793
"jonas12345",5.65,1.60,3.10,15.90,0,0,1,0,9,70,22, 60, 239, 4, 1, 14,3,6,61, 80035, 150126, 75149, 61.50, 99651,1909.3
"1v1 God",2.26,5.30,5.30,6.70,1,2,7,0,0,60,10, 21, 81, 10, 2, 11,5,6,44, 181361, 206830, 30792, 34.88, 118001,1803.7
"EXLTRIKZ",4.20,9.90,4.60,9.40,0,7,0,3,0,60,5, 64, 152, 7, 3, 15,1,7,72, 216899, 302813, 96303, 86.52, 134988,1846.5
"Amber Jessica",3.50,5.10,4.20,9.60,0,3,6,0,1,70,16, 23, 123, 15, 1, 15,8,8,51, 167381, 181101, 59756, 88.08, 119614,1818.3
"ExecutionerKen",2.75,0.70,4.80,12.50,0,0,2,0,8,60,45, 61, 275, 4, 0, 10,3,4,63, 81254, 167740, 102747, 28.35, 88438,1773
"Adrian Ma",4.08,1.00,3.90,14.90,0,1,0,0,9,80,50, 35, 288, 4, 1, 11,3,6,62, 66151, 144328, 55713, 29.03, 83797,1518.2
"coolrichkid123",2.65,7.50,5.40,6.80,0,0,9,1,0,50,13, 12, 89, 5, 0, 12,4,6,56, 208473, 194918, 30267, 28.45, 120518,1690.7
"TEAM LUCK",3.26,4.10,3.90,8.60,0,6,0,4,0,30,13, 57, 153, 9, 2, 9,4,3,54, 157866, 248392, 76921, 114.22, 112145,1831.6
"AutoSpacer",1.83,4.90,6.30,6.60,1,0,0,8,1,30,5, 39, 125, 11, 0, 12,6,3,50, 224994, 237211, 37656, 91.65, 122362,1876.4
"PARTYNEXTDOOR",1.86,6.60,6.40,5.30,6,2,2,0,0,20,9, 23, 97, 10, 0, 15,2,4,50, 179014, 233138, 21857, 24.63, 113337,1754.3
"KimmyCub",2.75,5.00,4.80,8.20,0,3,7,0,0,60,9, 23, 120, 7, 2, 14,3,4,54, 152808, 172742, 26156, 63.72, 108359,1714.3
"DZG Arbok",2.40,6.30,5.20,6.20,1,0,5,4,0,60,10, 36, 90, 17, 1, 11,1,4,55, 203352, 178272, 22037, 25.75, 111675,1635.9
"Nidalife",3.02,7.00,4.80,7.50,4,6,0,0,0,70,16, 56, 112, 10, 1, 15,3,6,56, 206177, 261222, 83175, 98.03, 126155,1856
