"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"ALBA 2",3.06,6.60,4.70,7.80,0,0,2,8,0,40,0,14,12,1,3,61,144.20,1902.5
"Cracky Chan",3.00,2.30,4.00,9.70,0,0,4,0,6,40,11,2,14,2,3,56,49.15,1688.3
"YiiSinn",2.14,6.60,5.90,6.00,0,0,1,9,0,30,6,14,8,2,2,59,34.88,1803.2
"hi im royroy",2.20,8.00,7.10,7.60,0,4,5,1,0,30,30,8,14,1,3,59,110.53,1971.7
"Rda is back",2.71,4.70,5.20,9.40,5,3,1,1,0,30,7,5,9,0,3,55,63.55,1990
"NNJAtaco",2.59,4.00,5.40,10.00,6,1,2,1,0,70,5,5,22,5,3,48,72.05,2020.2
"Worst Hooks NA",2.62,7.10,5.50,7.30,0,9,0,0,1,60,8,17,21,0,4,54,167.20,2004.8
"The Alexis Texas",2.43,4.90,6.00,9.70,0,4,2,4,0,30,11,9,11,0,2,55,108.48,1885.8
"tgdergts",3.26,8.90,5.70,9.70,0,6,0,4,0,50,1,14,14,3,4,63,134.97,2293
"Danklift",2.09,6.40,6.50,7.20,5,1,0,4,0,10,8,6,10,3,2,59,164.68,2075.9
"ALBA3",2.44,1.70,5.50,11.70,0,1,1,0,8,60,17,5,16,3,3,45,28.50,1653.6
"XiStar",2.90,5.50,4.80,8.40,5,2,1,0,2,40,23,8,11,0,6,52,49.72,1777.7
