"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Commisioner",4.02,1.2,4.3,16.1,0,1,0,0,9,70,31,47,303,0,0,15,6,6,59,72676,213240,39123,1482,92334,1913.5
"KingTruell",2.31,6.50,5.10,5.30,3,0,1,6,0,60,17, 23, 113, 17, 3, 15,2,4,48, 165068, 182903, 28283, 53.35, 114093,1668
"theuberone",4.80,4.20,3.00,10.20,8,0,2,0,0,80,4, 21, 73, 9, 1, 21,8,4,53, 196523, 250021, 75251, 271.15, 119381,1847.1
"Steaklol",2.47,5.30,4.90,6.80,0,7,0,0,3,40,12, 25, 100, 4, 1, 13,2,4,52, 139341, 227380, 71285, 54.68, 106635,1788.8
"Zoar",3.30,1.40,3.70,10.80,0,0,0,0,10,40,43, 53, 252, 1, 1, 8,0,1,60, 66732, 147617, 33391, 51.45, 78716,1651.8
"Snuggle",2.87,4.70,5.30,10.50,9,0,1,0,0,70,0, 20, 140, 6, 0, 22,1,3,48, 222524, 373118, 44624, 349.02, 136493,2212.7
"carrotshock",1.77,4.30,5.70,5.80,0,7,3,0,0,40,23, 49, 83, 5, 1, 13,6,5,46, 164191, 249039, 74397, 70.72, 111100,1950.6
"Krypt",2.33,5.10,4.90,6.30,0,1,5,4,0,40,10, 24, 108, 12, 1, 9,0,3,49, 185788, 194084, 32909, 58.35, 114458,1747.5
"Never Vote Yes",5.21,4.40,2.40,8.10,2,3,2,3,0,70,13, 28, 126, 6, 2, 19,1,5,52, 161062, 168489, 45644, 110.52, 110465,1622.7
"LamiaLoveless",3.58,4.50,3.60,8.40,3,4,1,1,1,70,19, 34, 172, 6, 2, 13,4,4,48, 128462, 185060, 55012, 86.90, 109299,1781.8
"DJWaffleStomp",2.42,7.40,6.20,7.60,1,1,8,0,0,30,7, 23, 126, 8, 1, 13,4,4,63, 271814, 200032, 20233, 128.17, 122501,1923
"A dam Good man",1.79,1.30,7.20,11.60,0,0,1,2,7,50,21, 27, 176, 3, 0, 8,1,6,58, 86529, 239161, 58992, 71.28, 86168,1716.3
"ihatelosing",2.06,4.00,4.90,6.10,0,4,6,0,0,40,14, 47, 62, 4, 1, 12,3,2,51, 147849, 177295, 42049, 28.05, 94706,1622.2
"Get in my Uhaul",2.03,7.10,6.50,6.10,5,1,4,0,0,30,1, 24, 115, 10, 2, 14,2,5,47, 237962, 233981, 13062, 63.40, 130690,1969.7
