"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Uketske",1.89,3.80,7.50,10.40,2,0,4,1,3,40,8, 10, 118, 1, 0, 12,4,2,51, 135143, 226722, 42903, 51.37, 96871,1890.5,4333,6827,0,1708,6037,14292,17357,16.00,34,205,52677,76843,37.75,325,9882,30158,67457,43.00,199,3269,0,0,0,0,0,38016,65065,5.67,112,29547
"Firstest",1.92,5.90,6.30,6.20,4,3,2,1,0,70,2, 11, 98, 14, 2, 10,4,1,45, 154238, 191017, 19365, 107.43, 110187,1766.4,5764,4877,5088,1935,0,14747,14810,44.00,181,529,52236,55858,58.00,361,3662,46605,54853,65.00,639,1738,40650,65496,0.67,168,13436,0,0,0,0,0
"JhayMar12",1.40,4.10,8.00,7.10,0,1,3,3,3,20,4, 11, 116, 1, 2, 15,0,2,44, 146663, 216474, 22884, 66.35, 97207,1815.3,0,6431,2471,4512,4739,22637,46238,28.67,274,5113,74259,78869,44.33,466,7315,0,0,0,0,0,23793,47328,31.00,0,6662,25974,44039,5.00,136,3794
"Iuxanna",2.29,8.70,6.60,6.40,3,1,6,0,0,40,18, 9, 140, 13, 2, 14,2,3,46, 230702, 186261, 28867, 38.50, 120947,2047.3,5964,12643,1866,0,0,0,0,0,0,0,158444,117204,46.67,750,10336,49334,56750,60.33,496,17302,22924,12307,49.00,0,1229,0,0,0,0,0
"Hogon Bordesk",5.51,7.80,3.90,13.70,0,0,2,7,1,50,1, 15, 136, 14, 3, 22,0,7,61, 228931, 154198, 40207, 44.23, 133763,2146.1,0,4793,0,14536,2132,160441,109039,37.86,1014,29363,64315,28311,41.00,358,4434,0,0,0,0,0,0,0,0,0,0,4175,16848,1.00,17,6410
"anuss crazy boom",2.84,6.40,4.40,6.10,6,2,2,0,0,60,0, 8, 90, 15, 1, 19,3,1,46, 205853, 300445, 84434, 95.18, 129628,1893.5,12057,3461,3417,0,0,0,0,0,0,0,59981,29831,76.50,422,5266,134572,219782,64.17,1369,58118,11300,50832,13.00,149,21050,0,0,0,0,0
"Sir miaw",1.46,3.50,7.00,6.70,0,2,7,0,1,40,11, 7, 94, 7, 0, 13,4,2,44, 149469, 156383, 10695, 31.82, 87651,1606.8,0,10528,3754,0,1786,0,0,0,0,0,111644,86597,47.71,783,3385,0,0,0,0,0,24419,59916,1.00,120,7162,13406,9870,5.00,13,148
"LtnBob",3.09,1.90,6.50,18.20,0,1,0,0,9,70,13, 25, 137, 2, 2, 23,0,5,59, 100909, 283543, 59187, 40.80, 109438,2147,0,0,1779,0,19691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9057,27100,1.00,66,6784,91852,256443,4.89,231,52403
"SilentxWolf",1.73,2.20,4.80,6.10,3,0,2,2,3,40,8, 25, 181, 4, 0, 16,1,4,31, 108018, 198716, 29903, 67.80, 88702,1881,5636,4125,0,2612,6437,13983,14728,33.50,180,2171,28923,38103,22.50,164,5068,41157,65440,33.33,319,8286,0,0,0,0,0,23955,80445,8.33,127,14378
"Kaitomaru",2.03,5.60,6.30,7.20,1,0,2,7,0,20,0, 12, 44, 3, 0, 14,0,0,46, 178590, 181919, 15738, 122.40, 106141,2080.5,1857,3566,0,15382,0,128456,125203,40.00,919,9128,36528,33053,34.00,182,5292,13606,23663,30.00,114,1318,0,0,0,0,0,0,0,0,0,0
"FaildotEXE",2.81,6.30,5.30,8.60,6,0,3,1,0,50,0, 34, 96, 6, 1, 23,1,3,45, 311916, 272523, 22699, 175.45, 130632,2278.7,13704,7666,0,1417,0,10991,9382,52.00,108,1019,152163,79430,60.33,623,6206,148762,183711,42.67,1080,15474,0,0,0,0,0,0,0,0,0,0
"Jeraldo Forest",1.64,3.50,8.40,10.30,1,3,0,6,0,30,0, 7, 123, 5, 0, 15,4,2,43, 152094, 242263, 61728, 26.52, 106582,2019.2,1638,0,6878,11676,0,94948,132936,43.67,733,21083,0,0,0,0,0,13817,17426,56.00,108,641,43329,91901,5.33,82,40004,0,0,0,0,0
