"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"GSguerrilla",3.02,0.90,4.00,11.20,0,0,0,0,9,56,11, 37, 162, 2, 1, 8,5,0,49, 40110, 121781, 45467, 28.90, 76931,1767.6666666666667
"Luke Than 3102",2.82,3.80,5.50,11.70,1,2,0,1,6,60,8, 14, 97, 6, 1, 20,4,1,46, 119040, 236650, 48875, 44.40, 103682,1931.6
"WODHEmperor",2.28,5.20,5.00,6.20,3,0,0,7,0,40,5, 4, 67, 10, 0, 13,3,1,50, 169701, 170477, 23810, 23.32, 103342,1624.9
"CatacombDragon",1.56,5.70,8.50,7.60,6,0,4,0,0,40,5, 11, 133, 8, 3, 14,2,2,38, 281111, 295153, 27625, 192.45, 132144,2309.1
"dmghost",2.08,3.70,6.20,9.20,1,1,0,4,4,50,16, 21, 141, 20, 3, 14,1,4,42, 149663, 170807, 18110, 42.15, 106975,1866.5
"PotatoTheMan",3.58,3.70,3.60,9.20,3,5,0,0,2,40,1, 23, 86, 8, 3, 18,2,4,48, 99438, 263949, 68264, 197.73, 107895,1835.1
"Zespider",2.56,2.80,5.90,12.30,0,2,0,0,8,40,4, 25, 271, 8, 0, 22,1,2,57, 116666, 369885, 164894, 375.95, 115121,2262.9
"Taipei WetWetDer",3.51,3.90,4.50,11.90,4,3,0,2,1,10,2, 33, 141, 2, 0, 14,0,4,56, 142246, 287262, 63280, 86.10, 111500,2019.9
"Zukoskiller",2.10,1.70,6.30,11.50,0,2,4,0,4,30,36, 25, 202, 4, 1, 13,2,3,51, 99178, 229628, 41002, 50.35, 94614,1917
"zCannibalz",2.77,5.30,4.40,6.90,8,0,2,0,0,80,5, 18, 131, 22, 1, 22,6,2,41, 181721, 245659, 46543, 88.32, 114288,1753.8
"ColorlessBubble",2.25,11.60,7.70,5.70,0,0,3,7,0,30,5, 30, 91, 11, 3, 18,3,8,57, 346400, 256812, 50904, 110.25, 146433,2222.4
"Lonesome Warrior",1.54,5.40,7.20,5.70,5,0,2,1,2,40,9, 18, 138, 8, 2, 14,3,2,37, 147217, 263725, 24554, 52.25, 115905,2015.5
"coolbro50",3.02,7.10,5.50,9.50,0,2,7,1,0,70,2, 15, 136, 6, 1, 16,1,8,42, 256913, 216181, 30843, 35.90, 133454,2312.2
"zorio64",1.38,2.80,6.50,6.20,5,1,1,0,3,30,1, 17, 99, 8, 1, 18,3,2,39, 105851, 249315, 60113, 57.67, 95962,1972.9
"stonelotus",2.08,5.70,6.20,7.20,2,0,8,0,0,40,2, 17, 78, 9, 0, 18,1,6,43, 233721, 205437, 19898, 37.58, 116890,1985.6
"HeroAran",2.35,6.20,7.90,12.40,3,1,4,1,1,40,0, 18, 101, 16, 1, 19,1,4,52, 288148, 315928, 69815, 140.18, 135328,2255
"Zlemonman",3.16,8.60,5.50,8.80,0,2,8,0,0,70,3, 5, 99, 14, 0, 19,0,5,50, 243325, 222873, 45244, 57.10, 137765,2037.7
"W0RLDBREAKER",2.41,2.60,5.10,9.70,3,0,0,1,6,60,12, 20, 113, 8, 2, 19,3,11,47, 91040, 247914, 44711, 47.70, 106549,2058.3
"BIink 182",1.97,6.80,6.80,6.60,0,2,2,6,0,30,0, 16, 84, 10, 0, 14,1,2,54, 209689, 223562, 25813, 68.10, 121770,1923.2
"ObiwanCaBoneMe",2.11,6.90,6.20,6.20,3,4,3,0,0,30,12, 26, 93, 6, 2, 12,2,2,47, 192799, 257086, 62942, 165.82, 122399,1935.1
"Sesshomar",1.00,2.70,5.70,3.00,9,0,1,0,0,30,15, 52, 85, 4, 0, 10,3,1,28, 104669, 209192, 25597, 59.33, 89056,1715.7
"aburntrose",3.67,6.50,3.90,7.80,1,3,4,2,0,90,9, 8, 123, 14, 1, 21,6,4,49, 187433, 194939, 57632, 130.95, 123833,1775.3
"cheesybacon22",3.31,1.20,5.20,16.00,0,0,0,0,10,80,35, 51, 270, 1, 1, 23,3,5,54, 51362, 135882, 244143, 21.08, 102675,2107.2
"Path Revisited",5.09,7.70,3.20,8.60,5,1,4,0,0,60,4, 13, 116, 14, 4, 16,4,4,62, 214807, 168229, 22896, 48.55, 118443,1825.9
"scooter780",2.30,6.00,6.00,7.80,0,8,1,0,1,70,15, 35, 137, 14, 4, 18,1,3,47, 178593, 283870, 68202, 125.47, 125425,1970.4
"The Real Heimer",2.11,3.60,4.70,6.30,4,0,2,4,0,40,9, 6, 95, 9, 0, 11,3,3,54, 185572, 178757, 19343, 39.90, 91548,1598.3
"Hoodie Allen",2.82,5.20,4.90,8.60,3,3,2,0,2,50,2, 96, 156, 12, 2, 23,1,8,47, 205079, 356979, 76544, 83.47, 130085,2204.5
"CJ2SIK",2.40,4.30,6.50,11.30,3,0,4,1,2,70,7, 19, 115, 8, 3, 19,4,10,51, 173536, 270466, 33442, 98.20, 123454,2014.3
"Mr Caruso",2.77,7.80,5.60,7.70,0,1,0,9,0,60,0, 28, 88, 22, 2, 18,5,8,54, 208107, 216404, 42677, 21.15, 143203,2111.6
"jaschen",2.98,6.60,4.50,6.80,0,3,0,7,0,70,0, 14, 77, 18, 4, 19,6,4,49, 218194, 211336, 38564, 99.83, 130248,1873.5
"springjin",3.95,4.30,3.90,11.10,0,3,2,0,5,80,8, 21, 131, 7, 0, 18,3,3,51, 164524, 162012, 26931, 38.63, 102476,1994.9
"Blendsomefruit",3.93,11.40,4.40,5.90,2,0,8,0,0,60,3, 9, 73, 4, 0, 13,2,5,60, 239599, 220625, 37617, 91.88, 125940,1884.3
