"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"unchic",1.63,6.60,6.50,4.00,3,5,2,0,0,20,8, 7, 68, 6, 1, 7,2,1,48, 127536, 203912, 33346, 48.88, 90323,1511.1,4979,2543,7589,0,0,0,0,0,0,0,27748,27851,41.50,137,1165,43059,59996,48.67,427,5727,56729,116065,10.60,253,26454,0,0,0,0,0
"Dank Plays Man",2.63,2.70,5.60,12.00,0,0,0,2,8,50,27, 21, 209, 2, 0, 11,0,4,52, 90586, 244266, 96336, 52.57, 96704,1849.1,0,0,0,2999,15492,21230,33708,21.50,126,9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69356,210558,9.00,492,86361
"BlackCat74123",2.63,6.50,6.50,10.60,0,3,5,2,0,50,16, 39, 148, 12, 3, 15,2,0,52, 231654, 201881, 29947, 74.27, 125277,1951.4,0,10937,4905,3672,0,40565,33146,59.50,318,3962,151358,107304,61.00,950,7276,0,0,0,0,0,39731,61431,26.67,141,18709,0,0,0,0,0
"Clnezl3rC",2.80,6.80,5.40,8.30,0,4,2,4,0,60,7, 28, 134, 14, 1, 19,5,4,57, 200954, 215927, 65065, 53.82, 124806,1881.3,0,3484,6170,9159,0,114602,91263,59.50,741,22454,30699,37956,32.50,244,5853,0,0,0,0,0,55653,86708,3.00,282,36758,0,0,0,0,0
"SolidCore",2.80,2.90,4.00,8.30,2,0,0,2,6,30,10, 45, 162, 5, 0, 16,1,6,52, 136625, 199396, 40917, 83.90, 106201,1953.4,3888,0,0,4618,11028,60140,40567,72.00,450,9157,0,0,0,0,0,27609,46698,54.50,429,5744,0,0,0,0,0,48876,112131,6.00,193,26016
"nunchunk",3.62,6.50,4.50,9.80,0,2,2,5,1,50,42, 63, 210, 23, 3, 17,3,5,58, 274633, 222126, 42187, 72.72, 129616,2091.4,0,3937,4000,11120,1857,185093,118561,55.20,1027,24936,51256,36511,62.50,337,3902,0,0,0,0,0,32085,49087,5.00,125,10030,6199,17967,13.00,45,3319
"Yeezy4Prez2020",2.39,2.00,5.70,11.60,2,1,0,0,7,50,35, 30, 193, 5, 1, 13,6,5,53, 87435, 229173, 50006, 48.42, 92560,1851.6,3898,0,1489,0,13129,0,0,0,0,0,0,0,0,0,0,36124,63093,48.50,330,9866,7678,13713,0.00,61,4767,43633,152367,8.29,183,35373
"Large Barge",2.35,5.60,4.90,5.90,2,0,0,6,2,40,6, 31, 96, 14, 1, 13,4,2,59, 169017, 197124, 28433, 71.87, 114619,1857.1,4229,0,0,10206,4136,101957,96634,71.50,1123,12776,0,0,0,0,0,47514,56356,54.50,447,9717,0,0,0,0,0,19546,44134,7.50,107,5940
"Potato Counter",1.70,3.60,5.70,6.10,3,0,0,5,2,20,17, 30, 122, 10, 0, 12,2,2,42, 151907, 200590, 31597, 92.75, 100849,1711.2,5332,0,0,8930,2850,80831,80412,63.00,923,12672,0,0,0,0,0,56510,95779,56.00,495,18290,0,0,0,0,0,14566,24399,4.50,21,635
"windy samurai",1.35,3.80,5.40,3.50,0,4,1,5,0,20,14, 19, 47, 3, 1, 13,1,1,40, 109625, 180033, 27268, 42.88, 94463,1712.9,0,1424,6803,8902,0,67215,77566,52.80,847,11188,8034,15127,49.00,103,1008,0,0,0,0,0,34376,87340,16.25,187,15072,0,0,0,0,0
"Skorzen",3.22,4.30,2.70,4.40,2,0,2,6,0,60,1, 6, 47, 12, 1, 11,1,2,39, 126184, 114359, 14920, 31.05, 87711,1437.8,2169,3013,0,9196,0,105215,83196,62.83,942,11239,12806,16123,41.50,210,1431,8163,15040,40.00,143,2250,0,0,0,0,0,0,0,0,0,0
"TheGaba",2.41,5.60,6.30,9.60,4,6,0,0,0,60,0, 29, 145, 10, 0, 18,4,3,52, 196691, 407982, 136500, 165.42, 141318,2099.3,7796,0,13197,0,0,0,0,0,0,0,0,0,0,0,0,53416,155224,58.00,762,55524,143275,252758,4.17,667,80976,0,0,0,0,0
"1LLIONAIRE",2.69,5.60,4.20,5.70,1,5,4,0,0,60,19, 24, 121, 2, 1, 20,3,3,47, 168603, 252774, 63857, 94.82, 130910,1979.4,1855,8864,9075,0,0,0,0,0,0,0,76316,90802,56.25,762,11728,16200,30298,63.00,211,9795,76087,131674,4.20,541,42334,0,0,0,0,0
"Acidpiper",1.96,1.30,4.80,8.10,1,1,0,0,8,40,4, 38, 161, 4, 1, 11,1,3,42, 62115, 243536, 30935, 11.57, 89326,1856.6,2519,0,1215,0,14832,0,0,0,0,0,0,0,0,0,0,11132,50175,38.00,237,3560,174,307,3.00,0,161,50809,193054,12.13,363,27214
"Unreal Snoopy",1.70,4.90,7.00,7.00,1,4,1,4,0,40,6, 26, 126, 9, 0, 15,5,1,51, 179305, 245781, 47615, 54.62, 106630,1734.4,1482,2076,7540,6246,0,68879,69100,54.25,634,10390,29692,23583,61.00,184,3249,13244,22121,49.00,153,2021,67490,130977,4.75,261,31955,0,0,0,0,0
"babygiraffes",2.43,3.40,3.50,5.10,6,0,4,0,0,20,5, 10, 50, 12, 0, 6,1,2,45, 103841, 190026, 13925, 39.63, 103357,1702.4,10111,6913,0,0,0,0,0,0,0,0,38190,55718,61.00,601,4693,65651,134308,67.00,1211,9232,0,0,0,0,0,0,0,0,0,0
"Equalibrium",3.13,7.90,5.20,8.40,0,1,4,5,0,50,17, 22, 121, 9, 1, 21,5,4,61, 236378, 161875, 19393, 40.50, 133928,1989.9,0,8201,2027,9671,0,110979,71797,59.40,1049,12994,97935,74243,55.75,700,5104,0,0,0,0,0,27464,15835,63.00,11,1295,0,0,0,0,0
"babygiraffes",2.43,3.40,3.50,5.10,6,0,4,0,0,20,5, 10, 50, 12, 0, 6,1,2,45, 103841, 190026, 13925, 39.63, 103357,1702.4,10111,6913,0,0,0,0,0,0,0,0,38190,55718,61.00,601,4693,65651,134308,67.00,1211,9232,0,0,0,0,0,0,0,0,0,0
