"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"BoxRavanger",3.26,6.00,5.00,10.30,5,2,0,3,0,60,2, 19, 70, 18, 2, 21,7,3,47, 173395, 241514, 40363, 89.43, 125352,1940.7
"Drakomagnum",2.84,12.40,7.50,8.90,0,5,5,0,0,50,8, 29, 117, 9, 1, 16,1,2,62, 316554, 313810, 69257, 70.68, 150150,2095.9
"Dadmin Cookie",6.67,2.50,2.70,15.50,0,0,3,0,7,60,11, 76, 161, 6, 3, 19,4,5,65, 157390, 133445, 46586, 75.68, 111750,2053.6
"Iravnax",2.50,4.60,5.40,8.90,2,0,2,3,3,30,5, 27, 121, 5, 3, 14,4,2,61, 191091, 199546, 33258, 81.93, 114142,2132.9
"reinvent",1.97,5.80,6.80,7.60,0,1,1,7,1,40,6, 27, 97, 5, 5, 11,1,5,47, 201616, 220048, 38679, 68.55, 118500,1895.8
"MartianC",3.73,4.10,4.00,10.80,1,5,0,1,3,70,7, 16, 133, 7, 0, 13,2,3,54, 121468, 297708, 60376, 107.20, 100672,1767.1
"EternalWar",1.86,2.90,6.30,8.80,1,2,0,0,7,40,20, 36, 177, 3, 1, 15,1,3,44, 145856, 221259, 41068, 41.67, 94561,1906.1
"Go Ms Peach Go",3.31,6.30,4.50,8.60,7,1,1,0,1,50,18, 21, 155, 6, 0, 15,1,2,56, 187089, 179028, 29951, 150.68, 116687,1878.2
"heiheihei Daddy",3.88,6.00,4.00,9.50,0,5,2,3,0,40,7, 14, 136, 9, 1, 10,2,1,57, 181932, 224393, 53436, 100.43, 114278,1965.7
"High on Chime",4.50,2.70,2.80,9.90,0,0,0,4,6,60,20, 32, 137, 4, 0, 16,3,1,52, 100772, 142140, 32556, 41.83, 91838,1667.7
"RandyC",2.59,4.00,4.40,7.40,1,2,2,3,2,50,2, 40, 166, 15, 2, 9,3,3,44, 123395, 229498, 87517, 72.98, 119512,1991.5
"MissLT",3.73,7.50,3.70,6.30,0,1,7,2,0,70,17, 27, 137, 15, 2, 19,3,3,53, 227717, 159936, 24289, 106.47, 130515,1921
"Rusty Sullivan",3.33,5.20,4.20,8.80,1,2,6,0,1,60,2, 10, 101, 11, 2, 12,4,2,52, 172932, 193679, 58165, 117.87, 108052,1670.6
"SmallPotatoLar",2.43,6.80,6.10,8.00,0,3,0,7,0,40,11, 24, 81, 8, 0, 14,4,2,56, 198792, 227686, 44917, 67.07, 114010,1783.8
"Gargoyle753",1.00,3.80,7.20,3.40,7,3,0,0,0,20,6, 12, 99, 6, 0, 10,0,3,36, 143301, 231948, 39981, 47.90, 97474,1745.6
"tknyc",2.41,0.90,4.40,9.70,1,0,0,0,9,40,33, 32, 225, 0, 2, 12,3,5,44, 63015, 208436, 55598, 117.75, 92261,1984.5
"RaptorFrisbee",2.08,4.10,7.30,11.10,2,1,0,3,4,30,11, 9, 104, 8, 1, 14,2,2,50, 165786, 253939, 41336, 41.23, 111988,2021.4
"AstridButterfly",2.08,10.20,7.80,6.00,7,3,0,0,0,60,10, 20, 72, 22, 6, 18,4,4,56, 295732, 266117, 35576, 73.87, 142622,1933.9
"akilla3333",2.15,7.90,6.00,5.00,0,0,1,9,0,60,6, 15, 117, 14, 3, 10,3,6,50, 257099, 212249, 33944, 49.75, 139346,1949.2
"SuperImposer",2.57,3.80,6.90,13.90,0,1,0,2,7,60,21, 36, 219, 6, 2, 21,4,4,57, 120195, 223242, 40406, 41.05, 104686,1947
