"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"God Of Scrubs",3.35,3.80,4.00,9.60,4,6,0,0,0,70,20, 22, 117, 9, 1, 20,1,3,46, 133669, 217609, 35653, 192.97, 101674,1928.9,6120,0,13169,0,0,0,0,0,0,0,0,0,0,0,0,55536,63649,33.75,394,4402,78133,153960,3.83,325,31251,0,0,0,0,0
"Eantheman",2.43,7.40,7.40,10.60,1,1,1,7,0,60,0, 9, 88, 12, 4, 20,4,2,52, 209473, 252671, 39945, 44.12, 135878,2049.4,2386,2217,3021,12870,0,132713,130618,50.00,1295,18658,20442,30411,60.00,203,1275,20060,40079,33.00,170,3369,36258,51563,0.00,83,16643,0,0,0,0,0
"dannybo17",1.59,4.80,9.50,10.30,1,3,1,1,4,50,0, 15, 74, 3, 2, 16,2,3,49, 162266, 282942, 36844, 32.47, 110970,2083.9,1960,2701,6527,2160,7491,22962,21723,29.00,153,4296,32945,32435,43.00,178,4582,20164,38888,47.00,136,4273,63541,88359,2.00,186,13875,22654,101537,4.50,65,9818
"Conga",2.00,6.60,7.00,7.40,0,4,1,5,0,30,0, 3, 63, 9, 1, 19,1,3,46, 161733, 210133, 49113, 48.20, 115743,1856,0,1681,7551,9328,0,87661,90405,57.80,839,14775,13250,17041,72.00,168,462,0,0,0,0,0,60822,102687,11.25,277,33876,0,0,0,0,0
"calvinator73",2.65,9.60,5.20,4.20,2,3,5,0,0,70,5, 7, 119, 10, 4, 21,3,3,48, 207056, 209347, 36374, 52.45, 131139,1894.1,3137,10041,5763,0,0,0,0,0,0,0,126574,95245,64.20,974,8633,37766,33935,72.50,382,3942,42716,80167,5.33,229,23799,0,0,0,0,0
"SilentSaiyan",1.92,1.60,7.60,13.00,0,0,0,0,10,50,12, 29, 211, 8, 0, 14,2,3,49, 74026, 198582, 38648, 51.45, 97938,1921.8,0,0,0,0,19218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74026,198582,4.30,306,38648
"Namonai",4.49,1.60,3.90,15.90,1,0,0,1,8,70,3, 33, 190, 6, 1, 20,1,2,50, 87246, 211777, 32894, 49.33, 93714,1841.5,2116,0,0,1248,15051,5060,13771,15.00,45,3184,0,0,0,0,0,27470,22231,32.00,136,1378,0,0,0,0,0,54716,175775,8.63,310,28332
"Kaderade1313",2.14,1.60,7.20,13.80,0,1,0,0,9,60,14, 18, 218, 2, 1, 18,3,2,49, 96073, 279159, 40886, 58.62, 97896,2006.5,0,0,2449,0,17616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22265,42402,0.00,59,11040,73808,236757,10.56,431,29846
"RubberDingus",1.94,5.60,7.00,8.00,0,2,0,7,1,40,0, 6, 66, 11, 0, 17,3,2,48, 146689, 218876, 35753, 58.67, 107365,1779.8,0,0,3705,12422,1671,117615,135211,48.57,1073,19709,0,0,0,0,0,0,0,0,0,0,20918,66910,0.50,138,14300,8156,16755,16.00,39,1744
"Dr Mandrew",1.52,3.60,5.40,4.60,6,3,0,1,0,40,1, 4, 66, 9, 2, 9,3,1,36, 124281, 284905, 52806, 59.05, 96389,1723.8,10849,0,4754,1635,0,4709,18476,16.00,34,702,0,0,0,0,0,87587,190501,53.83,917,35936,31985,75928,2.00,184,16168,0,0,0,0,0
"Brosbice",3.31,10.40,5.50,7.80,2,1,1,6,0,60,17, 26, 154, 16, 3, 23,3,3,55, 313654, 256093, 40769, 83.10, 150340,2180.9,4516,1693,2669,12931,0,203760,115397,66.50,1482,18447,19203,17938,47.00,157,2292,60509,76770,77.00,481,11134,30182,45988,4.00,78,8896,0,0,0,0,0
"jimmy hahahhan",1.97,6.70,7.00,7.10,2,2,3,0,3,30,0, 17, 94, 6, 0, 15,2,1,57, 162306, 264054, 33042, 49.03, 109128,1870.3,4588,4896,4268,0,4951,0,0,0,0,0,39247,69929,65.00,421,6397,60862,76374,49.00,408,3840,47723,69223,3.50,167,18273,14474,48528,9.67,81,4532
"WOLFHAVEN42",3.38,3.60,5.00,13.30,1,0,0,0,9,90,0, 10, 119, 10, 1, 19,5,4,43, 102695, 211302, 50953, 45.17, 101765,1892.5,2292,0,0,0,16633,0,0,0,0,0,0,0,0,0,0,17102,45470,27.00,79,3806,0,0,0,0,0,85593,165832,5.22,236,47147
