"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Soap tastes ok",1.61,1.80,6.10,8.00,0,1,0,2,7,10,34,2,10,5,3,53,28.83,1673.9
"NiMura",1.97,3.20,5.90,8.40,1,1,0,2,6,40,50,2,18,1,2,50,25.33,1846.7
"Q1035716423Aries",1.92,3.30,5.10,6.50,8,1,1,0,0,50,9,5,16,6,3,43,77.32,1757.2
"iMysterious",3.18,5.20,5.10,11.00,5,0,2,3,0,20,7,10,16,1,5,54,132.22,2178.5
"Saskio",4.64,3.00,3.30,12.30,1,0,0,3,6,60,17,14,11,2,5,57,51.55,1756.3
"OH MY EYE",2.51,4.10,6.10,11.20,6,0,0,0,4,90,23,8,10,5,8,48,88.68,1716.8
"Evasions",1.94,4.80,7.00,8.80,10,0,0,0,0,60,16,9,14,3,11,52,140.10,1985.1
"King Kenneth",2.88,1.30,5.10,13.40,0,0,1,0,9,60,31,2,15,1,5,57,52.70,1949.8
"Titan Dweevil",3.79,8.70,4.70,9.10,6,0,4,0,0,70,8,8,11,3,6,56,42.68,1871.7
"EvanRL",2.48,6.50,5.20,6.40,0,2,0,8,0,40,16,16,12,5,5,56,58.80,1880.3
"Yami",1.72,4.50,5.40,4.80,0,7,2,1,0,50,2,17,5,1,1,54,46.72,1555.4
"Licorice",4.89,7.50,3.60,10.10,10,0,0,0,0,60,15,9,15,5,5,54,319.57,1921.2
"Anivia Kid",3.00,7.00,4.20,5.60,1,1,8,0,0,50,31,15,13,4,3,54,40.98,1693.5
"Huhi",3.12,5.10,5.10,10.80,0,3,5,1,1,70,13,4,12,5,4,57,78.67,1754
"enaek",2.32,5.20,5.00,6.40,1,4,5,0,0,40,10,6,5,1,2,60,69.40,1536.8
"Gillette",1.52,3.80,5.40,4.40,4,0,6,0,0,30,17,6,12,4,1,49,77.08,1530.6
"Ajido",2.57,4.00,4.40,7.30,5,1,1,0,3,40,18,9,9,4,5,48,94.45,1775.3
"Nanaya",2.91,3.20,3.20,6.10,0,0,2,8,0,40,15,9,6,4,2,49,30.02,1596.6
"RF Legendary",1.89,4.00,5.40,6.20,8,1,1,0,0,20,25,12,7,2,1,50,44.00,1727.1
"Wolfelol",1.36,5.00,7.40,5.10,0,0,6,4,0,30,26,12,8,2,4,46,62.87,1715.4
"Valkrin",3.05,5.30,4.00,6.90,0,3,2,0,5,30,31,5,12,3,2,56,62.55,1870.5
"Noobkiller291",3.98,10.20,4.20,6.50,6,0,2,2,0,60,18,13,22,5,5,58,84.38,1979.1
"Neiloo",2.76,8.10,5.80,7.90,1,0,8,1,0,80,1,8,18,4,6,56,106.25,1836.8
"BoostedIceCream",2.17,5.00,4.80,5.40,8,0,2,0,0,50,30,13,12,4,9,47,43.93,1919.5
"Sawyerr",3.06,2.30,3.50,8.40,1,1,1,0,7,60,66,6,18,4,3,52,103.80,1827.4
