SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength
HAAAA GOT EM,2.72,7.9,6.4,9.5,1,1,6,2,0,60,4,12,99,11,2,21,2,2,48,252436,206219,40863,22.15,128783,1946.3
Haleybadaily,2.57,4.1,6.3,12.1,0,0,3,2,5,50,5,19,117,6,0,13,3,3,54,160256,194867,72103,41.37,109943,1973.4
blackbird7089,2.53,1.2,5.1,11.7,0,0,0,0,10,30,5,17,204,4,0,14,3,5,48,70951,131039,46136,33.93,89105,1859.6
batwingcrunchies,2.71,4.2,5.1,9.6,1,3,2,0,4,50,0,5,88,9,1,11,2,2,51,126448,208239,58286,40,97425,1769.5
bossdan17,1.72,4.1,7.1,8.1,2,0,1,3,4,60,2,6,78,5,3,15,3,4,38,135267,191735,30441,28.83,103555,1875.4
Gx3 Chidori,4.21,15.3,5.2,6.6,0,0,8,2,0,70,4,19,104,15,4,19,2,2,62,313618,200025,18776,113.77,148165,1967.1
Ulrickque,1.16,1.2,7.5,7.5,0,0,0,0,10,30,5,29,180,2,0,15,1,3,38,63501,247117,21774,91.97,81605,1898.3
Timstonman,3.33,3,4.9,13.3,1,1,2,0,6,60,13,36,158,6,0,25,2,4,47,133608,212303,85726,43.1,108149,2085.3
VaIkyria,1.35,1.4,6.6,7.5,2,2,0,0,6,30,14,13,93,6,1,8,2,2,44,75817,223235,81227,87.13,87268,1840.2
Armisticeismagic,4.95,8.6,3.9,10.7,2,8,0,0,0,50,10,60,144,12,5,18,2,6,63,194034,442411,95701,248.67,142761,2169.7
LODDD,2.28,6.8,7.2,9.6,1,4,3,0,2,50,0,9,103,14,8,16,2,4,48,224650,329104,70731,133.78,137856,2155.6
Hypnagogia,2.86,4.9,5.1,9.7,0,9,1,0,0,60,7,15,129,11,0,18,0,4,53,151413,301848,78732,140.92,117856,1952.9
SupahDave,2.95,4.1,5.6,12.4,3,6,0,0,1,80,4,16,94,15,3,27,5,5,44,164674,335334,67794,95.05,132591,2129.8
ANARCHlST,1.93,7.1,6,4.5,0,1,0,9,0,60,0,16,104,13,6,15,3,5,43,187111,209842,38166,22.6,118439,1837.9
El Jakari,1.28,5.8,10.1,7.1,0,1,3,5,1,40,14,11,131,12,4,14,1,3,44,210468,250518,29852,33.08,120944,2061.1
Big Clock Sucker,1.8,1.5,7.1,11.3,0,1,0,0,9,50,12,25,121,1,1,15,1,1,48,111182,167704,10273,32.55,92165,1845
Cadenx,2.15,4.1,3.9,4.3,7,0,1,2,0,30,5,8,94,8,2,13,3,2,37,158957,209771,26897,161.92,107515,1902.1
