"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Mario OP",2.49,6.50,5.90,8.20,5,3,1,0,1,30,6,8,12,0,0,50,150.07
"Arb0ria",2.22,6.70,8.60,12.40,0,2,1,4,3,60,2,9,17,4,3,60,53.50
"LegacyRW",2.49,2.60,5.70,11.60,0,0,0,2,8,40,16,7,14,1,3,47,36.23
"IIJRII",1.60,5.00,6.50,5.40,5,0,3,2,0,60,1,6,12,1,3,35,40.58
"PrismRevenant",4.13,7.90,4.50,10.70,0,0,4,6,0,70,8,22,15,1,6,63,41.12
"chiefrockaa",2.44,5.10,4.30,5.40,0,7,1,2,0,60,0,18,22,5,7,37,88.65
"Bazek",2.23,2.00,6.40,12.30,0,0,1,1,8,40,26,1,18,2,3,46,34.70
"ZenKen",2.48,5.30,5.00,7.10,5,0,0,5,0,70,0,9,24,5,5,39,137.00
"Il Cya Nerd Il",1.55,5.00,7.10,6.00,2,4,0,2,2,20,8,6,8,2,4,49,54.50
"Vylxer",1.63,2.10,6.20,8.00,0,1,0,1,8,30,19,6,18,5,2,39,102.70
"WarMachine03",1.39,3.30,6.40,5.60,7,2,0,1,0,30,0,6,8,0,1,40,39.70
"SpaZtk",2.71,5.90,4.50,6.30,3,0,5,2,0,60,9,17,18,3,2,49,23.22
"the red panther",2.64,8.80,6.10,7.30,0,0,3,7,0,80,0,13,17,3,4,50,20.88
"TheKeefThief",3.44,1.70,4.10,12.40,0,0,0,0,10,50,19,1,14,2,2,56,67.85
"Muchong",3.02,12.60,6.00,5.50,1,0,1,8,0,60,2,20,14,0,2,61,133.23
"Wario OP",2.70,6.50,6.00,9.70,3,3,0,2,2,50,0,13,18,1,2,49,194.60
"Vorstef",2.66,3.80,5.30,10.30,0,2,7,0,1,30,12,5,17,0,1,52,28.23
"W3az3R1530",2.91,3.90,4.50,9.20,0,3,1,0,6,50,24,6,12,2,0,57,101.87
"Namele55Usurper",3.50,3.90,3.20,7.30,0,8,2,0,0,50,8,8,18,1,0,39,81.98
"Bulldog21",2.74,8.30,6.20,8.70,0,4,1,5,0,60,0,10,15,3,6,56,76.73
"Headhunter8183",3.15,7.10,4.10,5.80,0,3,7,0,0,40,0,5,13,2,1,50,82.75
"sylveke",2.81,5.90,6.90,13.50,0,3,4,0,3,50,5,4,18,0,5,60,120.00
"Megeter dune",2.18,3.60,6.00,9.50,0,1,2,2,5,20,16,3,12,0,0,55,37.83
